character_id,movie_id,character_name,occourences,word_count,gender
203000,100361,normajean,18,181,female
203001,100361,cap,16,203,male
203002,100361,fat lou,13,234,unknown
203003,100362,amber,114,1820,female
203004,100362,gladys,58,1776,female
203005,100362,loretta,50,640,female
203006,100362,becky,35,791,female
203007,100362,iris,34,428,female
203008,100362,annette,33,495,female
203009,100362,documentarian (o.s.),22,219,unknown
203010,100362,harold,18,254,male
203011,100362,lisa,18,388,female
203012,100363,ben,409,5751,male
203013,100363,stanley,135,2240,male
203014,100363,susan,59,977,female
203015,100363,melanie,59,1124,female
203016,100363,stolz,54,1220,male
203017,100363,viljoen,41,667,male
203018,100363,de villiers,37,715,unknown
203019,100363,suzette,33,527,female
203020,100363,johan,33,364,male
203021,100364,groucho,212,7663,male
203022,100364,chico,101,3496,male
203023,100364,mrs. teasdale,52,1251,unknown
203024,100364,trentino,51,902,male
203025,100364,bob,25,715,male
203026,100364,vera,20,352,female
203027,100364,all,15,250,male
203028,100364,mrs.  teasdale,8,204,unknown
203029,100364,fade out,5,0,unknown
203030,100365,lloyd,285,4350,male
203031,100365,harry,275,3748,male
203032,100365,mary,68,777,female
203033,100365,lloyd (cont'd),37,587,unknown
203034,100365,andre,32,548,male
203035,100365,mental,24,567,male
203036,100365,harry (cont'd),20,396,unknown
203037,100365,athletic beauty,13,236,unknown
203038,100365,helen,12,255,female
203039,100366,paul,140,2474,male
203040,100366,jessica,57,1063,female
203041,100366,reverend mother,34,703,unknown
203042,100366,--,31,590,male
203043,100366,emperor,31,503,male
203044,100366,duke leto,30,544,unknown
203045,100366,kynes,29,605,male
203046,100366,gurney,28,511,male
203047,100366,baron,26,764,male
203048,100367,intercut: school,15,513,unknown
203049,100367,ext: street: day,9,940,unknown
203050,100367,ext: forest: night,9,846,unknown
203051,100367,intercut: kitchen,9,88,unknown
203052,100367,intercut: elliott's room,8,194,unknown
203053,100367,intercut: livingroom,7,93,unknown
203054,100367,ext: spacecraft: night,4,196,unknown
203055,100367,ext: forest: day,4,476,unknown
203056,100367,ext: backyard: night,4,358,unknown
203057,100368,jerry,195,3572,male
203058,100368,rachel,135,1791,female
203059,100368,morgan,72,1134,male
203060,100368,latesha,54,909,female
203061,100368,scott,41,868,male
203062,100368,woman's voice,35,693,unknown
203063,100368,callister,25,394,male
203064,100368,jerry (cont'd),22,470,unknown
203065,100368,aria,19,414,female
203066,100369,anna,123,1654,female
203067,100369,nikolai,113,2154,male
203068,100369,semyon,72,1119,male
203069,100369,kirill,62,1015,male
203070,100369,nikolai (cont'd),54,1253,unknown
203071,100369,helen,51,573,female
203072,100369,semyon (cont'd),45,933,unknown
203073,100369,kirill (cont'd),32,806,unknown
203074,100369,stepan,27,472,male
