character_id,movie_id,character_name,occourences,word_count,gender
201010,100120,debbie,84,1207,female
201011,100120,o'neill,81,1415,male
201012,100120,cole,65,890,male
201013,100120,gary,47,619,male
201014,100120,chulo,39,631,male
201015,100120,mr. thomerson,38,908,unknown
201016,100120,ryko,30,454,male
201017,100120,larry,28,349,male
201018,100121,charlie,215,3237,male
201019,100121,eddie,153,3388,male
201020,100121,arnold,85,1302,male
201021,100121,kenneth,84,1623,male
201022,100121,walter,67,1682,male
201023,100121,helen,51,1341,female
201024,100121,the existentialist,23,829,unknown
201025,100121,julie,23,974,female
201026,100121,the woman,11,128,unknown
201027,100124,zoe,395,4853,female
201028,100124,stan,218,2774,male
201029,100124,zoe (cont'd),60,819,unknown
201030,100124,bobby,52,618,male
201031,100124,nana,43,533,female
201032,100124,mona,42,597,female
201033,100124,carol,36,611,female
201034,100124,stan (cont'd),31,493,unknown
201035,100124,dr. harris,22,286,unknown
201036,100125,brian,267,3929,male
201037,100125,stephen,204,4422,male
201038,100125,shadow,114,2728,male
201039,100125,jennifer,73,1076,female
201040,100125,axe,41,1144,male
201041,100125,ronald,33,583,male
201042,100125,helen,33,376,female
201043,100125,swayzak,28,480,male
201044,100125,grindle,25,497,male
201045,100126,burnett,249,4081,male
201046,100126,lowrey,170,2979,male
201047,100126,julie,124,1949,female
201048,100126,fouchet,41,667,male
201049,100126,theresa,36,589,female
201050,100126,howard,29,668,male
201051,100126,max,22,227,male
201052,100126,chet,11,252,male
201053,100126,eddie,9,186,male
201054,100127,bud,174,2781,male
201055,100127,jesse,89,1531,male
201056,100127,braddock,42,572,male
201057,100127,catfish,36,657,male
201058,100127,lucian,32,591,male
201059,100127,fitch,29,536,male
201060,100127,cobb,29,422,male
201061,100127,kiersey,26,507,unknown
201062,100127,marandino,25,370,male
201063,100128,macreedy,249,4367,unknown
201064,100128,smith,107,2125,male
201065,100128,doc,83,1831,male
201066,100128,pete,56,972,male
201067,100128,tim,44,766,male
201068,100128,liz,43,712,female
201069,100128,hector,37,680,male
201070,100128,coley,32,725,male
201071,100128,hastings,25,323,male
201072,100129,cynthia,175,2486,female
201073,100129,alan,103,1722,male
201074,100129,berrisford,48,1035,unknown
201075,100129,victor,36,749,male
201076,100129,ralph,33,678,male
201077,100129,wasserman,28,452,male
201078,100129,miriam,25,665,female
201079,100129,harris (cont'd),22,491,unknown
201080,100129,alan (cont'd),22,471,unknown
201081,100130,lt,139,4793,male
201082,100130,ariane,30,997,female
201083,100130,lite,18,403,male
201084,100130,(oc),12,234,unknown
201085,100130,nun,12,1118,female
201086,100130,jc,8,250,male
201087,100130,fence,7,207,male
201088,100130,bet cop,6,334,unknown
201089,100130,first cop,5,77,unknown
201090,100131,willie,229,3177,male
201091,100131,marcus,119,1745,male
201092,100131,kid,86,972,male
201093,100131,gin,58,679,female
201094,100131,chipeska,29,346,unknown
201095,100131,sue,28,313,female
201096,100131,troublemaker,9,147,male
201097,100131,lois,8,71,female
201098,100131,santa,8,141,female
201099,100132,elizabeth,298,4049,female
201100,100132,amy,65,1127,female
201101,100132,elizabeth (cont'd),61,927,unknown
201102,100132,scott,60,682,male
201103,100132,garrett,43,530,male
201104,100132,lynn,40,356,female
201105,100132,principal snur,34,580,unknown
201106,100132,sasha,29,257,male
201107,100132,carl,25,324,male
201108,100133,kit,234,4390,male
201109,100133,holly,97,1175,female
201110,100133,deputy,16,235,male
201111,100133,cato,12,161,male
201112,100133,father,11,113,male
201113,100133,rich man,10,45,unknown
201114,100133,boy,7,42,male
201115,100133,girl,5,23,female
201116,100133,visitor,4,34,male
201117,100134,delacroix,229,2687,male
201118,100134,sloan,122,1162,male
201119,100134,mantan,113,1249,male
201120,100134,dunwitty,74,1282,unknown
201121,100134,cheeba,53,503,male
201122,100134,manray,44,413,male
201123,100134,big black,40,524,unknown
201124,100134,sleep 'n eat,40,311,unknown
201125,100134,close on,33,228,unknown
201126,100135,roderick (v.o.),217,9241,unknown
201127,100135,roderick,192,3989,male
201128,100135,countess,36,882,female
201129,100135,chevalier,33,612,male
201130,100135,captain grogan,29,1031,unknown
201131,100135,captain galgenstein,26,912,unknown
201132,100135,dorothy,20,520,female
201133,100135,harry,18,411,male
201134,100135,patrick,16,230,male
201135,100136,barton,306,4601,male
201136,100136,charlie,146,2759,male
201137,100136,audrey,47,685,female
201138,100136,lipnik,44,1780,male
