character_id,movie_id,character_name,occourences,word_count,gender
202000,100240,lucy,109,1719,female
202001,100240,barron,53,1010,male
202002,100240,doug,47,832,male
202003,100240,margaret,27,325,female
202004,100240,interviewer,21,168,male
202005,100240,wayne,20,424,male
202006,100240,edward,19,535,male
202007,100240,nancy,13,157,female
202008,100241,ace,470,7507,male
202009,100241,nicky,364,5904,female
202010,100241,ginger,328,3904,female
202011,100241,ace (v.o.),271,5186,unknown
202012,100241,nicky (v.o.),137,3796,unknown
202013,100241,marino,79,703,male
202014,100241,lester,57,858,male
202015,100241,gaggi,46,533,male
202016,100241,piscano,36,597,female
202017,100242,chuck,371,6617,male
202018,100242,kelly,71,729,female
202019,100242,goodchuck,69,1310,unknown
202020,100242,stan,63,778,male
202021,100242,badchuck,51,814,unknown
202022,100242,mom,18,244,male
202023,100242,bettina,17,325,female
202024,100242,technician,13,257,male
202025,100242,doctor,12,267,male
202026,100243,frank,293,3698,male
202027,100243,joe shaye,128,2216,unknown
202028,100243,frank sr.,52,1508,unknown
202029,100243,brenda,47,509,female
202030,100243,paula,18,387,female
202031,100243,frank (cont'd),17,225,unknown
202032,100243,(more),13,0,unknown
202033,100243,close on,13,204,unknown
202034,100243,robert,12,243,male
202035,100244,patience,166,0,female
202036,100244,lone,98,0,female
202037,100244,catwoman,91,0,female
202038,100244,laurel,72,0,female
202039,100244,edna,62,0,female
202040,100244,georges,48,0,male
202041,100244,sally,30,0,female
202042,100244,xavier,13,0,male
202043,100244,--,12,0,male
202044,100245,cecil,157,2238,male
202045,100245,honey,121,1512,female
202046,100245,cherish,46,454,female
202047,100245,lyle,29,360,male
202048,100245,raven,20,185,female
202049,100245,(to honey),19,332,unknown
202050,100245,pam,18,170,female
202051,100245,fidget,16,101,male
202052,100245,dinah,16,101,female
202053,100246,tim,290,4408,male
202054,100246,joan,92,1244,male
202055,100246,dean,84,1896,male
202056,100246,ronald,61,1338,male
202057,100246,tim (cont'd),50,1062,unknown
202058,100246,orin,47,1449,male
202059,100246,bill krogstad,30,840,unknown
202060,100246,millie,28,423,female
202061,100246,dean (cont'd),17,401,unknown
202062,100248,catherine,113,1809,female
202063,100248,novak,113,1603,male
202064,100248,miriam,67,1075,female
202065,100248,catherine (cont'd),40,871,unknown
202066,100248,ramsey,35,617,male
202067,100248,henry,24,404,male
202068,100248,novak (cont'd),24,673,unknown
202069,100248,miriam (cont'd),15,210,unknown
202070,100248,stargher king,12,342,unknown
202071,100249,ryan,201,3162,male
202072,100249,jessica,87,1781,female
202073,100249,jessica (vo),59,931,unknown
202074,100249,greer,56,773,male
202075,100249,ryan (cont'd),48,752,unknown
202076,100249,mooney,47,862,male
202077,100249,craig,20,281,male
202078,100249,chloe,18,249,female
202079,100249,ryan (vo),17,221,unknown
202080,100250,dave,333,4197,male
202081,100250,mitch,332,5168,male
202082,100250,jamie,72,847,male
202083,100250,mitch (cont'd),54,1147,unknown
202084,100250,sabrina,37,339,female
202085,100250,dave (cont'd),36,570,unknown
202086,100250,cara,22,180,female
202087,100250,"mitch, sr.",19,181,unknown
202088,100250,gladys,13,126,female
202089,100251,christine,259,3469,female
202090,100251,jones,80,1496,male
202091,100251,ybarra,70,870,male
202092,100251,gordon,42,761,male
202093,100251,steele,39,486,male
202094,100251,hahn,31,609,male
202095,100251,rev. briegleb,29,934,unknown
202096,100251,"""walter""",24,205,unknown
202097,100251,briegleb,22,326,unknown
202098,100252,conners,196,2655,male
202099,100252,dekker,171,2371,male
202100,100252,teddy,54,636,male
202101,100252,jenkins,46,715,male
202102,100252,dax,33,556,male
202103,100252,lorenz,28,616,male
202104,100252,vincent,28,491,male
202105,100252,conners (vo),14,298,unknown
202106,100252,marnie,13,269,female
202107,100253,reggie,472,6789,male
202108,100253,dyle,130,1776,male
202109,100253,adam,94,1162,male
202110,100253,peter,91,1011,male
202111,100253,bartholomew,75,1518,male
202112,100253,tex,51,848,male
202113,100253,grandpierre,39,918,male
202114,100253,scobie,34,707,male
202115,100253,sylvie,31,395,female
202116,100254,dylan,125,1929,male
202117,100254,natalie,100,1375,female
202118,100254,alex,81,1088,male
202119,100254,knox,50,857,male
202120,100254,jason,31,596,male
202121,100254,bosley,29,525,male
202122,100254,dylan (cont'd),26,451,unknown
202123,100254,natalie (cont'd),18,346,unknown
202124,100254,vivian wu,17,355,unknown
202125,100255,holden,374,5054,male
202126,100255,alyssa,257,5383,female
202127,100255,banky,184,3473,male
202128,100255,hooper,65,1666,male
202129,100255,jay,35,718,male
202130,100255,sloss,13,234,unknown
202131,100255,walt,12,151,male
202132,100255,collector,12,128,male
202133,100255,bob,11,496,male
202134,100256,ed,444,4203,male
202135,100256,sadie,142,1740,female
202136,100256,derm,128,1584,male
202137,100256,geoffrey,68,934,male
202138,100256,susie,29,179,female
202139,100256,george,28,389,male
202140,100256,int. bathroom,27,1974,unknown
202141,100256,operator,24,210,male
202142,100256,int. living room,23,501,unknown
202143,100257,jody,172,1881,male
202144,100257,brent,83,1147,male
202145,100257,kenny,53,962,male
202146,100257,sandy,52,691,female
202147,100257,leonard,40,1178,male
202148,100257,marge,34,371,female
202149,100257,stacy,19,258,female
202150,100257,cindy,16,229,female
202151,100257,caretaker,15,234,male
202152,100258,gittes,548,8533,unknown
202153,100258,evelyn,185,2404,female
202154,100258,escobar,74,1090,male
202155,100258,cross,67,1090,male
202156,100258,curly,25,230,female
202157,100258,yelburton,20,377,unknown
202158,100258,secretary,14,160,female
202159,100258,walsh,14,203,male
202160,100258,pilot,13,208,male
202161,100259,zoey,202,2370,female
202162,100259,quinn,156,1421,male
202163,100259,louis,95,1089,male
202164,100259,anna,46,596,female
202165,100259,ryan blood,36,515,unknown
202166,100259,jack,33,462,male
202167,100259,rick,18,158,male
202168,100259,zoey (cont'd),11,120,unknown
202169,100259,jennifer,10,92,female
202170,100260,andrew (o.s.),168,1599,unknown
202171,100260,matt,148,2001,male
202172,100260,steve,84,1114,male
202173,100260,cut.,53,1153,unknown
202174,100260,andrew,39,487,male
202175,100260,casey (o.s.),25,220,unknown
202176,100260,matt (o.s.),22,250,unknown
202177,100260,steve (o.s.),21,321,unknown
202178,100260,casey,14,215,male
202179,100261,peter,101,824,male
202180,100261,lucy,90,731,female
202181,100261,edmund,78,660,male
202182,100261,susan,76,532,female
202183,100261,white witch,48,605,unknown
202184,100261,mr. beaver,35,311,unknown
202185,100261,tumnus,30,403,male
202186,100261,aslan,24,394,male
202187,100261,professor,17,213,male
202188,100262,homer,247,3655,male
202189,100262,larch,121,2464,male
202190,100262,candy,118,1973,female
202191,100262,mr. rose,76,1972,unknown
202192,100262,wally,60,1285,male
202193,100262,rose rose,41,586,unknown
202194,100262,edna,35,621,female
202195,100262,muddy,32,554,male
202196,100262,angela,31,371,female
202197,100263,kid,251,3534,male
202198,100263,lancey,122,2215,male
202199,100263,shooter,120,2208,male
202200,100263,christian,110,1770,male
202201,100263,the kid,78,1306,unknown
202202,100263,melba,75,1599,female
202203,100263,craigie,44,556,male
202204,100263,bill,39,880,male
202205,100263,(time lapse),37,0,unknown
202206,100264,salvatore,152,2905,male
202207,100264,alfredo,77,2807,male
202208,100264,elena,37,929,female
202209,100264,maria,26,972,female
202210,100264,spaccafico,16,479,unknown
202211,100264,priest,15,229,male
202212,100264,audience,14,178,male
202213,100264,crowd,7,109,male
202214,100264,teacher,6,85,male
202215,100265,darren,294,3307,male
202216,100265,crepsley,177,3327,unknown
202217,100265,steve,105,2163,male
202218,100265,debbie,39,544,female
202219,100265,evra,38,674,male
202220,100265,gavner purl,29,426,unknown
202221,100265,mr. tall,26,669,unknown
202222,100265,mr. tiny,23,432,unknown
202223,100265,mom,21,306,male
202224,100266,kane,298,6657,male
202225,100266,leland,102,2464,male
202226,100266,susan,95,2156,female
202227,100266,bernstein,94,2220,male
202228,100266,dissolve:,82,1375,unknown
202229,100266,thompson,63,941,male
202230,100266,emily,42,802,female
202231,100266,dissolve out:,28,12,unknown
202232,100266,thatcher,28,802,male
202233,100267,max,212,4711,male
202234,100267,hasari,130,2712,male
202235,100267,joan,68,1241,male
202236,100267,ram,38,876,male
202237,100267,ashoka,34,763,male
202238,100267,another angle,33,1051,unknown
202239,100267,betsy,20,317,female
202240,100267,ghatak,19,537,unknown
202241,100267,gangooly,18,566,unknown
202242,100268,perseus,182,2407,male
202243,100268,amoun,66,1290,female
202244,100268,andromeda,46,764,female
202245,100268,vidalia,46,826,female
202246,100268,kepheus,43,490,male
202247,100268,spyros,38,532,male
202248,100268,wilting girl,30,335,unknown
202249,100268,tiamat,23,578,male
202250,100268,cassiopeia,21,310,female
202251,100269,dante,564,4824,male
202252,100269,randal,333,3835,male
202253,100269,veronica,121,1519,female
202254,100269,caitlin,85,986,female
202255,100269,jay,62,1000,male
202256,100269,customer,46,408,male
202257,100269,trainer,32,361,male
202258,100269,activist,31,489,male
202259,100269,heather,22,199,female
202260,100270,gabe,210,5640,male
202261,100270,travers,103,1977,male
202262,100270,hal,85,1974,male
