character_id,movie_id,character_name,occourences,word_count,gender
204010,100485,phil,83,797,male
204011,100485,cheryl,32,535,female
204012,100485,bubba,31,439,male
204013,100485,corny,24,329,male
204014,100485,gwen,22,274,female
204015,100485,jack,18,401,male
204016,100485,customer,12,48,male
204017,100486,will,356,5076,male
204018,100486,sean,199,3398,male
204019,100486,lambeau,184,2813,male
204020,100486,chuckie,132,2451,male
204021,100486,skylar,129,1663,female
204022,100486,morgan,50,513,male
204023,100486,psychologist,15,209,male
204024,100486,billy,14,147,male
204025,100486,clark,12,292,male
204026,100488,miranda,268,5411,female
204027,100488,pete,118,1698,male
204028,100488,sheriff ryan,58,1495,unknown
204029,100488,parsons,40,1043,male
204030,100488,chloe,39,917,female
204031,100488,irene,28,526,female
204032,100488,shelley,22,534,female
204033,100488,officer turlington,21,346,unknown
204034,100488,consuelo,16,242,female
204035,100489,o'shea,259,3262,male
204036,100489,lisa,217,2967,female
204037,100489,paddy,103,1422,male
204038,100489,smith,75,1083,male
204039,100489,brian,65,888,male
204040,100489,una,44,543,female
204041,100489,dr gleeson,29,456,unknown
204042,100489,omitted,16,0,female
204043,100489,fr potts,14,165,unknown
204044,100490,ben,590,6387,male
204045,100490,mrs. robinson,259,1799,unknown
204046,100490,elaine,132,1201,female
204047,100490,mr. robinson,50,777,unknown
204048,100490,mr. braddock,37,849,unknown
204049,100490,mrs. braddock,31,274,unknown
204050,100490,ben's voice,21,253,unknown
204051,100490,room clerk,17,166,unknown
204052,100490,mrs. robinson's voice,16,405,unknown
204053,100491,walt,447,7294,male
204054,100491,tao,155,1350,male
204055,100491,sue,98,1128,female
204056,100491,father janovich,66,907,unknown
204057,100491,mitch,53,773,male
204058,100491,smokie,38,696,male
204059,100491,spider,21,255,male
204060,100491,barber,17,248,male
204061,100491,(subtitled),15,311,unknown
204062,100492,baron,196,2866,male
204063,100492,grusinskaya,144,3620,unknown
204064,100492,preysing,144,2523,male
204065,100492,kringelein,142,3748,unknown
204066,100492,flaemmchen,133,1658,unknown
204067,100492,senf,40,810,male
204068,100492,doctor,38,578,male
204069,100492,gerstenkorn,37,513,unknown
204070,100492,zinnowitz,30,463,unknown
204071,100493,phil,274,2496,male
204072,100493,larry,170,1622,male
204073,100493,stanley,67,452,male
204074,100493,susie,65,623,female
204075,100493,barbara,64,750,female
204076,100493,phil (cont'd),42,324,unknown
204077,100493,clerk,30,194,male
204078,100493,cop,22,198,male
204079,100493,barbara (cont'd),13,227,unknown
204080,100494,tom,245,4902,male
204081,100494,ma,117,3790,female
204082,100494,pa,79,1979,male
204083,100494,casy,59,1837,female
204084,100494,al,48,662,male
204085,100494,muley,31,1045,male
204086,100494,caretaker,24,648,male
204087,100494,rosasharn,23,356,female
204088,100494,grampa,22,656,male
204089,100495,ryan,167,2441,male
204090,100495,matt,127,2515,male
204091,100495,ryan (cont'd),106,2628,unknown
204092,100495,(on radio),57,768,unknown
204093,100495,matt (cont'd),33,909,unknown
204094,100495,mission control,20,459,unknown
204095,100495,transmission,14,115,male
204096,100495,shariff,10,128,male
204097,100495,outer space.,10,273,unknown
204098,100496,gatsby,174,2903,male
204099,100496,nick,164,1783,male
204100,100496,nick (v.o.),137,2939,unknown
204101,100496,tom,106,1586,male
204102,100496,daisy,81,1021,female
204103,100496,jordan,42,493,male
204104,100496,gatsby (cont'd),31,522,unknown
204105,100496,tom (cont'd),19,347,unknown
204106,100496,daisy (cont'd),16,343,unknown
204107,100497,paul,314,7041,male
204108,100497,coffey,98,2302,male
204109,100497,brutal,95,2082,male
204110,100497,percy,66,1585,male
204111,100497,hal,41,895,male
204112,100497,jan,41,584,male
204113,100497,del,39,937,male
204114,100497,harry,29,806,male
204115,100497,billy,28,1062,male
204116,100498,billy,198,3039,male
204117,100498,rand,34,484,male
204118,100498,tracy,30,469,female
204119,100498,gary,30,374,male
204120,100498,dorry,20,308,female
204121,100498,lynn,20,294,female
204122,100498,pete,17,332,male
204123,100498,mrs. deagle,14,155,unknown
204124,100498,frank,13,110,male
204125,100499,billy,156,2432,male
204126,100499,0,67,390,unknown
204127,100499,kate,58,704,female
204128,100499,clamp,53,1098,male
204129,100499,forster,40,709,male
204130,100499,marla,38,808,female
204131,100499,grandpa fred,26,629,unknown
204132,100499,mr. futterman,21,394,unknown
204133,100499,billy (cont.),18,342,unknown
204134,100500,roy,257,1988,male
204135,100500,lilly,153,1854,female
204136,100500,myra,124,1437,female
204137,100500,cole,34,406,male
204138,100500,bobo,31,364,male
204139,100500,kaggs,24,395,unknown
204140,100500,clerk,18,172,male
204141,100500,simms,17,537,male
204142,100500,pierson,15,170,male
204143,100501,martin,301,4614,male
