character_id,movie_id,character_name,occourences,word_count,gender
200000,100000,kat,218,1872,female
200001,100000,patrick,184,1317,male
200002,100000,bianca,131,1254,female
200003,100000,cameron,104,796,male
200004,100000,michael,89,914,male
200005,100000,joey,62,506,male
200006,100000,walter,54,462,male
200007,100000,mandella,40,361,female
200008,100000,miss perky,19,219,unknown
200009,100001,music:,2,3,unknown
200010,100001,music starts,2,0,unknown
200011,100001,music stops,2,0,unknown
200012,100001,writers,1,1,male
200013,100001,sfx: thunder,1,0,unknown
200014,100001,music restarts,1,0,unknown
200015,100001,genres,1,1,male
200016,100002,jacob,141,1282,male
200017,100002,malee,101,1055,female
200018,100002,leonard,84,840,male
200019,100002,kenny,58,585,male
200020,100002,grace,52,515,female
200021,100002,gus,51,506,male
200022,100002,ashley,36,378,female
200023,100002,yacco,35,342,male
200024,100002,rudy,34,364,male
200025,100003,cole,220,4496,male
200026,100003,railly,176,3272,male
200027,100003,jeffrey,62,1874,male
200028,100003,astrophysicist,22,236,unknown
200029,100003,fale,19,349,male
200030,100003,dr. fletcher,14,247,unknown
200031,100003,botanist,13,153,male
200032,100003,dr. mason,12,558,unknown
200033,100003,microbiologist,12,185,male
200034,100004,solomon,183,2427,male
200035,100004,epps,82,1516,male
200036,100004,ford,28,696,male
200037,100004,bass,27,437,male
200038,100004,brown,25,467,male
200039,100004,mistress epps,23,332,unknown
200040,100004,celeste,22,344,female
200041,100004,epps (cont'd),22,645,unknown
200042,100004,hamilton,22,346,male
200043,100005,aron,97,2651,male
200044,100005,aron (cont'd),55,1454,unknown
200045,100005,megan,20,143,female
200046,100005,kristi,20,198,female
200047,100005,rana,9,176,female
200048,100005,title:,7,0,unknown
200049,100005,intercut with:,7,0,unknown
200050,100005,video:,6,0,unknown
200051,100005,erik,5,156,male
200052,100006,columbus,248,4454,male
200053,100006,sanchez,45,822,male
200054,100006,marchena,35,497,male
200055,100006,isabel,31,357,female
200056,100006,pinzon,29,718,male
200057,100006,arojaz,23,367,unknown
200058,100006,fernando,22,319,male
200059,100006,moxica,19,389,male
200060,100006,utapan,16,293,unknown
200061,100007,jordy,163,2376,male
200062,100007,eddie,146,2273,male
200063,100007,emil,120,2206,male
200064,100007,nicolette,50,686,female
200065,100007,oleg,49,794,male
200066,100007,daphne,39,599,female
200067,100007,hawkins,37,601,male
200068,100007,korfin,32,383,unknown
200069,100007,leon,31,468,male
200070,100008,mike,252,2493,male
200071,100008,ed,112,1341,male
200072,100008,alex,70,641,male
200073,100008,scarlet,61,614,female
200074,100008,maggie,41,362,female
200075,100008,julie,32,401,female
200076,100008,mike (cont'd),30,318,unknown
200077,100008,stan,23,194,male
200078,100008,coach harvey,18,188,unknown
200079,100009,genres,1,1,male
200080,100009,writers,1,1,male
200081,100010,bowman,82,882,male
200082,100010,floyd,79,1131,male
200083,100010,poole,68,770,male
200084,100010,hal,64,923,male
200085,100010,pilot,19,343,male
200086,100010,narrator,14,613,male
200087,100010,child,13,59,male
200088,100010,smyslov,13,228,male
200089,100010,elena,12,158,female
200090,100011,jackson,105,855,male
200091,100011,adrian,80,844,male
200092,100011,kate,46,347,female
200093,100011,anheuser,40,427,unknown
200094,100011,gordon,31,288,male
200095,100011,noah,29,183,male
200096,100011,laura,23,212,female
200097,100011,yuri,22,165,male
200098,100011,adrian (cont'd),21,274,unknown
200099,100012,monty,201,0,male
200100,100012,jakob,105,0,male
200101,100012,slattery,87,0,male
200102,100012,naturelle,52,0,female
200103,100012,mary,50,0,female
200104,100012,kostya,47,0,male
200105,100012,monty (cont'd),37,0,unknown
200106,100012,mr. brogan,27,0,unknown
200107,100012,mont y,25,0,unknown
200108,100013,selena,125,1536,female
200109,100013,jim,121,1437,male
200110,100013,frank,69,969,male
200111,100013,henry,46,1100,male
200112,100013,hannah,36,448,female
200113,100013,mitchell,25,676,male
200114,100013,mark,16,326,male
200115,100013,jones,16,145,male
200116,100013,scientist,13,214,male
200117,100014,will,303,5501,male
200118,100014,chet,196,3043,male
200119,100014,dwayne,184,4212,male
200120,100014,jay,61,822,male
200121,100014,kate,38,538,female
200122,100014,vaughn,28,590,male
200123,100014,juicy,17,338,female
200124,100014,major,16,429,male
200125,100014,(beat),16,344,unknown
200126,100015,rickey,178,3917,male
200127,100015,jack,173,2062,male
200128,100015,rachel,94,1077,female
200129,100015,smith,57,868,male
200130,100015,durocher,30,607,female
200131,100015,reese,25,411,male
200132,100015,parrott,24,340,unknown
200133,100015,walker,22,257,male
200134,100015,branca,17,228,female
200135,100016,archie,146,1962,male
200136,100016,mal,122,1727,male
200137,100016,omp,111,2320,male
200138,100016,colin,94,3043,male
200139,100016,meredith,94,1571,female
200140,100016,liz,40,417,female
200141,100016,colin (cont'd),15,1516,unknown
200142,100016,meredith (cont'd),13,413,unknown
200143,100016,(more),10,48,unknown
200144,100017,cates,336,5151,female
200145,100017,hammond,234,4359,male
200146,100017,elaine,72,966,female
200147,100017,ganz,67,1063,male
200148,100017,transition.,33,77,unknown
200149,100017,luther,27,317,male
200150,100017,haden,24,465,male
200151,100017,kehoe,21,349,male
200152,100017,billy,19,272,male
200153,100018,adam,329,3736,male
200154,100018,katie,85,1055,female
200155,100018,seth,77,1366,male
200156,100018,rachel,69,772,female
200157,100018,edith,45,790,female
200158,100018,adam (cont'd),35,650,unknown
200159,100018,seth (cont'd),18,216,unknown
200160,100018,phil,15,124,male
200161,100018,(beat),14,239,unknown
200162,100019,tom,406,3367,male
200163,100019,summer,223,1606,female
200164,100019,mckenzie,74,488,male
200165,100019,paul,47,429,male
200166,100019,rachel,42,307,female
200167,100019,(beat),40,218,unknown
200168,100019,tom (v.o.),35,378,unknown
200169,100019,girl,23,159,female
200170,100019,narrator,18,250,male
200171,100021,welles,338,6178,male
200172,100021,max,58,1134,male
200173,100021,eddie,53,1254,male
200174,100021,dino velvet,52,1346,unknown
200175,100021,amy,38,342,female
200176,100021,mrs mathews,36,562,unknown
200177,100021,longdale,32,423,unknown
200178,100021,mary's voice,21,898,unknown
200179,100021,eddie (v.o.),16,198,unknown
200180,100022,9,41,300,unknown
200181,100022,1,28,302,unknown
200182,100022,5,22,152,unknown
200183,100022,(cont'd),18,165,unknown
200184,100022,7,17,107,unknown
200185,100022,9 (cont'd),12,81,unknown
200186,100022,6,10,57,unknown
200187,100022,2 (cont'd),8,38,unknown
200188,100022,1 (cont'd),7,57,unknown
200189,100023,kaffee,556,8468,male
200190,100023,jo,209,2903,male
200191,100023,ross,129,2169,male
200192,100023,jessep,107,2452,male
200193,100023,sam,87,1115,male
200194,100023,dawson,54,644,male
200195,100023,randolph,49,665,male
200196,100023,kendrick,35,385,male
200197,100023,downey,32,423,male
200198,100024,abel,405,5766,male
200199,100024,anna,153,2116,female
200200,100024,andrew walsh,126,1284,unknown
200201,100024,a.d.a. lawrence,62,811,unknown
200202,100024,abel (cont'd),57,1244,unknown
200203,100024,julian,41,591,male
200204,100024,peter forente,37,550,unknown
200205,100024,bill o'leary,36,482,unknown
200206,100024,arnold kline,22,172,unknown
200207,100025,billy,156,2496,male
200208,100025,nan,42,778,female
200209,100025,jom,28,558,male
200210,100025,kiaw,14,181,female
200211,100025,dr. adi,12,141,unknown
200212,100025,elyias,10,219,male
200213,100025,tiffany,9,185,female
200214,100025,beat.,8,0,unknown
200215,100025,smash to:,7,0,unknown
200216,100026,lee (signing),13,307,unknown
200217,100026,lee,11,58,male
200218,100026,evelyn (cont'd),9,124,unknown
200219,100026,marcus (signing),8,213,unknown
