character_id,movie_id,character_name,occourences,word_count,gender
207010,100853,professor liepsky,11,315,unknown
207011,100854,butch,273,4900,male
207012,100854,red,173,2889,male
207013,100854,phillip,114,960,male
207014,100854,sally,96,1225,female
207015,100854,adler,65,1067,male
207016,100854,jerry,50,905,male
207017,100854,suttle,19,227,male
207018,100854,lottie,17,249,female
207019,100854,hendricks,17,182,male
207020,100855,charlie,197,2288,male
207021,100855,patrick,102,1948,male
207022,100855,sam,95,1467,male
207023,100855,charlie (v.o.),56,1884,unknown
207024,100855,mary elizabeth,49,763,unknown
207025,100855,candace,19,289,female
207026,100855,bill,18,320,male
207027,100855,father,15,261,male
207028,100855,patrick (cont'd),14,302,unknown
207029,100856,louis,220,3056,male
207030,100856,jud,130,2572,female
207031,100856,rachel,74,961,female
207032,100856,ellie,71,898,female
207033,100856,ext.  louis,38,596,unknown
207034,100856,pascow,23,389,unknown
207035,100856,int.  louis,14,343,unknown
207036,100856,gage,10,128,male
207037,100856,irwin,9,215,male
207038,100857,chase,94,1768,male
207039,100857,geoff,87,1358,male
207040,100857,drew,66,1425,male
207041,100857,gus,65,2006,male
207042,100857,clyde,47,1666,male
207043,100857,renee,27,775,female
207044,100857,marjorie,23,489,female
207045,100857,amanda,22,632,female
207046,100857,yolander,8,284,female
207047,100858,archie,264,2479,male
207048,100858,petulia,199,2474,female
207049,100858,david,54,824,male
207050,100858,0,40,388,unknown
207051,100858,polo,34,439,male
207052,100858,â¢,31,248,unknown
207053,100858,barney,24,249,male
207054,100858,mike,22,175,male
207055,100858,wilma,18,247,female
207056,100859,andrew,232,3056,male
207057,100859,joe,195,2833,male
207058,100859,wheeler,45,939,male
207059,100859,miguel,44,622,male
207060,100859,belinda,40,518,female
207061,100859,seidman,31,419,unknown
207062,100859,andrew (cont.),27,577,unknown
207063,100859,kenton,26,205,male
207064,100859,judge garnett,24,473,unknown
207065,100860,stu,410,4924,male
207066,100860,voice,283,4538,male
207067,100860,ramey,77,1012,male
207068,100860,leon,33,448,male
207069,100860,mavis' voice,31,250,unknown
207070,100860,felicia,29,464,female
207071,100860,kelly's voice,25,203,unknown
207072,100860,mario,17,138,male
207073,100860,sergeant,16,192,male
207074,100861,max,228,1941,male
207075,100861,lenny meyer,67,839,unknown
207076,100861,sol,52,897,female
207077,100861,marcy dawson,42,950,unknown
207078,100861,max (v.o.),20,881,unknown
207079,100861,rav cohen,14,466,unknown
207080,100861,devi,14,125,female
207081,100861,devi (o.s.),11,64,unknown
207082,100861,jenna,10,72,female
207083,100862,szpilman,152,1680,male
207084,100862,henryk,46,811,male
207085,100862,dorota,30,420,female
207086,100862,father,30,734,male
207087,100862,mother,25,265,female
207088,100862,halina,19,273,female
207089,100862,jehuda,19,490,male
207090,100862,regina,17,290,female
207091,100862,michal,14,323,male
207092,100863,stewart,111,4644,male
207093,100863,baines,89,4446,male
207094,100863,flora,74,3666,female
207095,100863,aunt morag,36,1212,unknown
207096,100863,subtitled,22,531,unknown
207097,100863,hira,18,743,female
207098,100863,unsubtitled,12,215,unknown
207099,100863,nessie,10,163,female
207100,100863,big sister,8,186,unknown
207101,100864,dale,303,3163,male
207102,100864,saul,264,3036,male
207103,100864,red,52,783,male
207104,100864,saul (cont'd),35,365,unknown
207105,100864,angie,30,290,female
207106,100864,dale (cont'd),22,235,unknown
207107,100864,matheson,18,109,male
207108,100864,budlofsky,18,112,unknown
207109,100864,ted,17,272,male
207110,100865,jack,162,3169,male
207111,100865,elizabeth,95,1473,female
207112,100865,will,90,1455,male
207113,100865,barbossa,72,1670,male
207114,100865,norrington,59,1230,unknown
207115,100865,jack (cont'd),40,1099,unknown
207116,100865,gibbs,31,778,male
207117,100865,barbossa (cont'd),22,759,unknown
207118,100865,murtogg,22,153,unknown
207119,100866,jack sparrow,193,2373,unknown
207120,100866,will turner,131,1234,unknown
207121,100866,elizabeth swann,91,851,unknown
207122,100866,gibbs,82,874,male
207123,100866,davy jones,45,601,unknown
207124,100866,pintel,37,319,female
207125,100866,ragetti,28,308,male
207126,100866,norrington,28,374,unknown
207127,100866,tia dalma,26,416,unknown
207128,100867,fry,195,2272,male
207129,100867,johns,129,1697,male
207130,100867,riddick,119,1884,male
207131,100867,imam,51,757,male
207132,100867,paris,43,556,male
207133,100867,audrey,32,400,female
207134,100867,shazza,22,396,female
207135,100867,owens,16,219,male
207136,100867,zeke,9,162,male
207137,100868,taylor,188,3805,male
207138,100868,zira,116,1689,female
207139,100868,zaius,84,1699,male
207140,100868,cornelius,71,1166,male
207141,100868,lucius,28,426,male
207142,100868,julius,27,538,male
207143,100868,landon,27,266,male
207144,100868,president,25,430,male
207145,100868,dodge,23,220,male
207146,100869,genres,1,1,male
207147,100869,writers,1,1,male
207148,100870,chris,93,2541,male
207149,100870,elias,56,1485,male
207150,100870,barnes,54,1421,male
207151,100870,rhah,51,1165,male
207152,100870,king,50,1055,male
207153,100870,o'neill,31,651,male
207154,100870,francis,26,364,male
207155,100870,junior,26,551,male
207156,100870,wolfe,25,436,male
207157,100871,david,290,3555,male
207158,100871,jennifer,146,1964,female
207159,100871,betty,62,630,female
207160,100871,mr. johnson,60,802,unknown
207161,100871,dick van dyke,58,815,unknown
207162,100871,bob,45,731,male
207163,100871,george,41,475,male
207164,100871,david (cont),40,722,unknown
207165,100871,biff,35,476,male
207166,100872,utah,208,4362,male
207167,100872,bodhi,108,3528,male
207168,100872,pappas,101,2674,male
207169,100872,tyler,43,1137,male
207170,100872,harp,22,476,male
207171,100872,roach,13,341,male
207172,100872,grommet,12,399,female
207173,100872,reagan,8,260,male
207174,100872,bunker,8,103,male
207175,100873,---------------------------------------------,8,980,unknown
207176,100873,--------------------------------------------------------,6,554,unknown
207177,100873,------------------------------------------,2,136,unknown
207178,100873,----------------------------------------------------,2,241,unknown
207179,100873,pika!,1,89,unknown
207180,100873,genres,1,1,male
207181,100873,meowth?!,1,277,unknown
207182,100873,help! help!,1,70,unknown
207183,100873,writers,1,1,male
207184,100874,the postman,351,6695,unknown
207185,100874,bethlehem,129,2984,female
207186,100874,abby,70,1517,female
207187,100874,ford,64,1031,male
207188,100874,briscoe,33,536,male
207189,100874,idaho,23,710,male
207190,100874,b.c. mayor,22,332,unknown
207191,100874,bandit #20,21,270,unknown
207192,100874,gibbs,17,180,male
207193,100875,pk,340,4184,male
207194,100875,morrie,102,1545,male
207195,100875,maria,71,944,female
207196,100875,doc,67,1560,male
207197,100875,solly,51,1246,male
207198,100875,pk (v.o.),35,1591,unknown
207199,100875,st. john,30,447,unknown
207200,100875,geel piet,25,475,unknown
207201,100875,von zyl,22,515,unknown
207202,100876,precious,209,2994,female
207203,100876,ms. rain,111,1845,unknown
207204,100876,precious (v.o.),76,2641,unknown
207205,100876,mary,47,996,female
207206,100876,cornrows,32,446,unknown
207207,100876,ms. weiss,29,384,unknown
207208,100876,jermaine,22,327,male
207209,100876,mrs. lichenstein,18,208,unknown
207210,100876,jo ann,16,176,unknown
207211,100877,schaefer,107,2176,female
207212,100877,dillon,65,1905,male
207213,100877,mac,30,1096,male
207214,100877,ramirez,28,733,male
207215,100877,*,20,147,unknown
207216,100877,billy,16,327,male
207217,100877,philips,11,394,male
207218,100877,blain,9,296,male
207219,100877,hawkins,8,146,male
207220,100878,angier,214,2384,female
207221,100878,borden,142,1725,male
207222,100878,cutter,125,1626,male
207223,100878,olivia,69,783,female
207224,100878,sarah,43,475,female
207225,100878,borden (cont'd),42,773,unknown
207226,100878,angier (cont'd),37,866,unknown
207227,100878,alley,29,478,male
207228,100878,cutter (cont'd),20,281,unknown
207229,100879,vivian,323,4914,female
207230,100879,edward,294,4598,male
207231,100879,stuckey,84,1512,unknown
207232,100879,mr. thomas,39,821,unknown
207233,100879,kit,39,692,male
207234,100879,kross,23,503,male
207235,100879,david,17,338,male
207236,100879,saleswoman,11,148,unknown
207237,100879,jake,8,93,male
207238,100880,edward,465,8445,male
207239,100880,vivian,438,7515,female
207240,100880,philip,123,2564,male
207241,100880,kit,89,1472,male
207242,100880,barney,68,1085,male
207243,100880,lyrics,62,2078,male
207244,100880,james morse,25,495,unknown
207245,100880,hollister,23,515,male
207246,100880,carlos,12,111,male
207247,100881,elizabeth,294,3837,female
207248,100881,darcy,96,1348,male
207249,100881,mrs bennet,90,1724,unknown
207250,100881,â¢,78,578,unknown
207251,100881,mr bennet,56,880,unknown
207252,100881,jane,53,644,female
207253,100881,lydia,46,664,female
207254,100881,charlotte,34,468,female
207255,100881,lady catherine,32,651,unknown
207256,100882,priest,159,2439,male
207257,100882,hicks,114,2068,male
207258,100882,priestess,55,797,female
207259,100882,(beat),32,595,unknown
207260,100882,black hat,25,431,unknown
207261,100882,aaron,25,370,male
207262,100882,hicks (cont'd),24,505,unknown
207263,100882,koeppen,13,284,female
207264,100882,old man,12,328,unknown
207265,100883,inigo,161,2544,male
207266,100883,buttercup,95,1393,female
207267,100883,westley,95,1726,male
207268,100883,fezzik,74,985,unknown
207269,100883,vizzini,73,1567,male
207270,100883,humperdinck,62,1116,female
207271,100883,grandfather,50,922,male
207272,100883,the kid,40,364,unknown
207273,100883,miracle max,30,480,unknown
207274,100884,holmes,361,6072,male
207275,100884,watson,275,4241,male
207276,100884,gabrielle,107,1372,female
207277,100884,mycroft,80,1395,male
207278,100884,rogozhin,59,807,male
207279,100884,mrs. hudson,33,438,unknown
207280,100884,queen victoria,30,507,unknown
207281,100884,petrova,15,139,female
207282,100884,watson's voice,12,525,unknown
207283,100885,bialystock,279,3440,unknown
207284,100885,bloom,154,1917,female
207285,100885,liebkind,103,1293,unknown
207286,100885,de bris,40,565,unknown
207287,100885,lsd,20,206,male
207288,100885,carmen,14,140,female
207289,100885,ulla,13,82,female
207290,100885,drunk,10,110,male
207291,100885,resume action.,9,0,unknown
207292,100886,winters,131,3894,male
207293,100886,joe,129,2718,male
207294,100886,darnell,98,1829,male
207295,100886,camille,66,1149,female
207296,100886,autumn,60,864,female
207297,100886,alvin,42,960,male
207298,100886,lattimer,23,534,male
207299,100886,bud,16,243,male
207300,100886,clayton,16,254,male
207301,100887,kim,109,808,female
207302,100887,(continuing),69,1260,unknown
207303,100887,wendy,46,385,female
207304,100887,hammond,43,229,male
207305,100887,jude,29,172,male
207306,100887,henri-anne,26,90,unknown
207307,100887,lou,26,257,female
207308,100887,kelly,25,239,female
207309,100887,alex,23,171,male
207310,100888,watts,137,1945,male
207311,100888,holloway,99,1788,male
207312,100888,janek,58,826,male
207313,100888,david,47,1021,male
207314,100888,vickers,31,441,male
207315,100888,holloway (cont'd),16,436,unknown
207316,100888,milburn,15,285,male
207317,100888,david (cont'd),15,383,unknown
207318,100888,fifield,15,196,male
207319,100889,daggett,264,3549,male
207320,100889,katherine,200,2950,female
207321,100889,gabriel,137,3327,male
207322,100889,mary,46,490,female
207323,100889,simon,34,609,male
207324,100889,john,34,695,male
207325,100889,jerry,28,346,male
207326,100889,coroner,28,441,male
207327,100889,sheriff,25,377,male
207328,100890,margaret,358,4904,female
207329,100890,richard,342,4346,male
207330,100890,geoffrey,70,1026,male
207331,100890,mr. gilbertson,57,936,unknown
207332,100890,gertrude,56,791,female
207333,100890,debbie,51,869,female
207334,100890,grandma annie,31,795,unknown
207335,100890,handsome man,14,207,unknown
207336,100890,annie,10,201,female
207337,100891,sam,165,3106,male
207338,100891,norman,116,2715,male
207339,100891,lila,109,1707,female
207340,100891,mary,98,1257,female
207341,100891,arbogast,54,986,male
207342,100891,sheriff,31,591,male
207343,100891,mrs. chambers,19,373,unknown
207344,100891,car dealer,17,618,unknown
207345,100891,patrolman,14,313,unknown
207346,100892,dillinger,190,2674,male
207347,100892,purvis,77,933,male
207348,100892,billie,69,903,female
207349,100892,(beat),40,820,unknown
207350,100892,hoover,33,516,male
207351,100892,winstead,29,302,male
207352,100892,dillinger (cont'd),18,221,unknown
207353,100892,karpis,17,241,male
207354,100892,hamilton,17,301,male
207355,100893,vincent,251,3377,male
207356,100893,jules,205,3739,male
207357,100893,butch,131,2148,male
207358,100893,fabienne,87,1012,female
207359,100893,mia,80,1476,female
207360,100893,lance,46,906,male
207361,100893,the wolf,46,1207,unknown
207362,100893,pumpkin,34,384,female
207363,100893,young man,27,823,unknown
207364,100894,barry,411,4817,male
207365,100894,lena,128,1214,female
207366,100894,elizabeth,61,725,female
207367,100894,sexy voice,60,602,unknown
207368,100894,dean,30,595,male
207369,100894,david,25,297,male
207370,100894,lance,22,135,male
207371,100894,kathleen,19,129,female
207372,100894,manager,18,117,male
207373,100895,vanity,149,2734,female
207374,100895,morris,134,2430,male
207375,100895,prince,126,3112,male
207376,100895,jerome,48,325,male
207377,100895,billy,33,544,male
207378,100895,jill,26,601,female
207379,100895,mother,25,571,female
207380,100895,-,18,0,male
207381,100895,father,16,308,male
207382,100896,pentcho,44,695,male
207383,100896,mia,28,331,female
207384,100896,alexander,13,217,male
207385,100896,pentcho (cont'd),8,123,unknown
207386,100896,alexander (cont'd),5,124,unknown
207387,100896,voice,4,99,male
207388,100896,will,4,100,male
207389,100896,jacque,3,39,male
207390,100896,mia (cont'd),3,97,unknown
207391,100897,lestat,165,3301,male
207392,100897,jesse,127,3154,male
207393,100897,marius,79,2068,male
207394,100897,akasha,48,1545,female
207395,100897,maharet,46,1052,female
207396,100897,talbot,33,747,male
207397,100897,lestat (v.o.),16,718,unknown
207398,100897,roger,15,285,male
207399,100897,groupie #1,12,107,unknown
207400,100898,elizabeth,177,1900,female
207401,100898,tony,144,1436,male
207402,100898,prince philip,47,422,unknown
207403,100898,janvrin,38,503,female
207404,100898,charles,33,468,male
207405,100898,cherie,27,330,female
207406,100898,alastair,21,224,male
207407,100898,queen mother,17,257,unknown
207408,100898,t,11,168,male
207409,100899,kym,234,2693,female
207410,100899,rachel,150,1911,female
207411,100899,paul,113,1133,male
207412,100899,abby,66,651,female
207413,100899,kieran,47,592,male
207414,100899,emma,40,468,female
207415,100899,sidney,35,385,male
207416,100899,carol,25,202,female
207417,100899,(more),15,0,unknown
207418,100900,jake,244,4483,male
207419,100900,joey,135,1946,male
207420,100900,vickie,91,977,female
207421,100900,jake (cont'd),45,1706,unknown
207422,100900,salvy,13,189,male
207423,100900,joey (cont'd),13,147,unknown
207424,100900,como,10,349,male
207425,100900,reporter,10,125,male
207426,100900,irma,9,116,female
207427,100901,hi,185,2602,male
207428,100901,ed,111,1469,male
207429,100901,voice over,108,2650,unknown
207430,100901,gale,68,1391,female
207431,100901,nathan,64,1171,male
207432,100901,evelle,58,769,female
207433,100901,glen,50,964,male
207434,100901,dot,17,336,female
207435,100901,back to hi,15,144,unknown
207436,100902,daddy,237,4866,male
207437,100902,rose,198,4181,female
207438,100902,mother,166,3402,female
207439,100902,buddy,141,1720,male
207440,100902,willcox hillyer,50,759,unknown
207441,100902,doll,40,492,female
207442,100902,dr. martinson,27,714,unknown
207443,100902,dave wilkie,24,889,unknown
207444,100902,daddy (cont'd),15,427,unknown
