index,character_id,movie_id,character_name,occourences,word_count
2800,209884,101194,hannah green,43,858
2801,209885,101194,miss sloviak,25,345
2802,209896,101195,sir patrick,20,486
2803,209897,101195,the chief,20,260
2804,209906,101196,walter (v.o.),8,91
2805,209912,101197,zukovsky,43,807
2806,209918,101198,randy (cont'd),77,529
2807,209920,101198,(beat),47,406
2808,209921,101198,cassidy (cont'd),27,224
2809,209922,101198,the ayatollah,17,104
2810,209924,101198,scott brumberg,11,63
2811,209927,101199,well-manicured man,51,1246
2812,209928,101199,kurtzweil,50,1218
2813,209929,101199,dr. bronschweig,19,528
2814,209932,101199,strughold,14,287
2815,209933,101199,resume mulder,10,418
2816,209947,101201,victor creed,25,809
2817,209950,101201,james hudson,14,134
2818,209951,101201,agent zero,13,203
2819,209957,101202,shavers,16,455
2820,209958,101202,sam tannick,15,171
2821,209960,101202,jefe,10,402
2822,209961,101203,zed,285,4834
2823,209962,101203,oh,142,1894
2824,209963,101203,cain,75,1153
2825,209964,101203,maya,47,496
2826,209965,101203,high priest,36,855
2827,209966,101203,inanna,29,353
2828,209967,101203,marlak,28,443
2829,209968,101203,abraham,26,418
2830,209969,101203,isaac,21,180
2831,209970,101204,carl,441,3831
2832,209971,101204,renee,106,1142
2833,209972,101204,peter,60,611
2834,209973,101204,lucy,53,480
2835,209974,101204,chris parker,45,689
2836,209975,101204,norman,41,471
2837,209976,101204,sanji,34,485
2838,209977,101204,rooney,33,332
2839,209978,101204,kath,19,237
2840,209979,101205,sammy,297,4088
2841,209980,101205,terry,263,4460
2842,209981,101205,rudy,94,701
2843,209982,101205,brian,81,1317
2844,209983,101205,bob,33,395
2845,209984,101205,ron,18,370
2846,209985,101205,sheila,14,108
2847,209986,101205,rudy sr.,13,168
2848,209987,101205,sheriff,12,156
2849,209988,101206,kathleen,286,3708
2850,209989,101206,joe,253,2995
2851,209990,101206,frank,74,977
2852,209991,101206,christina,67,707
2853,209992,101206,kevin,41,383
2854,209993,101206,patricia,40,628
2855,209994,101206,george,36,401
2856,209995,101206,kathleen (v.o.),30,840
2857,209996,101206,joe (v.o.),29,747
2858,209997,101207,nick,334,3823
2859,209998,101207,sheeni,152,2613
2860,209999,101207,nick (v.o.),94,2644
2861,210009,101208,daniel (cont'd),40,764
2862,210020,101209,michelle,70,602
2863,210021,101209,max,62,492
2864,210022,101209,luke (cont'd),22,333
2865,210023,101209,keenan (cont'd),20,238
2866,210024,101210,hopps,255,3525
2867,210025,101210,nick,134,2428
2868,210026,101210,bogo,44,525
2869,210027,101210,nick (cont'd),40,847
2870,210028,101210,stu hopps,39,474
2871,210029,101210,hopps (cont'd),35,596
2872,210030,101210,bonnie hopps,33,305
2873,210031,101210,bellwether,32,600
