index,character_id,movie_id,character_name,occourences,word_count
900,203293,100399,nina,33,521
901,203294,100399,woman,24,259
902,203295,100399,mrs.  baker,23,343
903,203296,100399,mrs. baker,21,270
904,203297,100399,donna,15,136
905,203298,100399,dr. beasley,11,132
906,203299,100400,archer,184,3429
907,203300,100400,castor,158,3518
908,203301,100400,eve,91,1315
909,203302,100400,pollux,30,625
910,203303,100400,sasha,25,613
911,203304,100400,wanda,20,265
912,203305,100400,tito,20,497
913,203306,100400,walton,19,634
914,203307,100400,jamie,19,336
915,203308,100401,valerie,215,3513
916,203309,100401,joe,84,1565
917,203310,100401,joe wilson,58,1072
918,203311,100401,sawsan,25,459
919,203312,100401,mike,22,334
920,203313,100401,bill,22,431
921,203314,100401,libby,21,500
922,203315,100401,sa'ad,18,245
923,203316,100401,paul,16,276
924,203317,100402,jack,376,6107
925,203318,100402,kate,158,2401
926,203319,100402,jack (contd),102,2510
927,203320,100402,cash,47,833
928,203321,100402,kate (contd),43,1083
929,203322,100402,annie,32,449
930,203323,100402,arnie,29,605
931,203324,100402,alan,25,343
932,203325,100402,lassiter,20,271
933,203326,100403,reed,157,2605
934,203327,100403,sue,127,2403
935,203328,100403,ben,110,1858
936,203329,100403,victor,101,2204
937,203330,100403,johnny,88,1845
938,203331,100403,doom,20,728
939,203332,100403,victor (cont'd),19,523
940,203333,100403,ben (cont'd),18,638
941,203334,100403,leonard,18,348
942,203335,100404,fox,258,5028
943,203336,100404,mrs. fox,57,544
944,203337,100404,ash,54,973
945,203338,100404,kylie,51,453
946,203339,100404,badger,30,327
947,203340,100404,bean,26,641
948,203341,100404,kristofferson,20,362
949,203342,100404,rat,17,577
950,203343,100404,(hesitates),12,119
951,203344,100405,marge,214,2166
952,203345,100405,jerry,176,1920
953,203346,100405,carl,98,1669
954,203347,100405,voice,59,593
955,203348,100405,wade,50,522
956,203349,100405,mike,31,366
957,203350,100405,lou,28,222
958,203351,100405,norm,28,191
959,203352,100405,man,20,401
960,203353,100406,stacy,187,2038
961,203354,100406,brad,92,1195
962,203355,100406,damone,90,1246
963,203356,100406,linda,79,976
964,203357,100406,the rat,79,1175
965,203358,100406,spicoli,67,1142
966,203359,100406,mr. hand,33,578
967,203360,100406,spicoli (cont'd),19,357
968,203361,100406,mr. hand (cont'd),19,580
969,203362,100407,ned,309,6367
970,203363,100407,lola,106,2165
971,203364,100407,lana,100,1779
972,203365,100407,laura,81,1555
973,203366,100407,frank,38,713
974,203367,100407,arch,23,525
975,203368,100407,mrs. shady,21,569
976,203369,100407,ned (v.o.),14,455
977,203370,100407,judge skanky,14,224
978,203371,100408,hazel,374,4323
979,203372,100408,gus,273,3951
980,203373,100408,frannie,80,1000
981,203374,100408,hazel (v.o.),62,1573
